contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
AMZN280616P00110000,2026-02-12 18:48:00+00:00,110.0,6.2,1.0,0,37.2016,199.31,41.2755,0.0364,37.63
AMZN280616P00115000,2026-02-13 16:17:30+00:00,115.0,7.2,1.0,0,36.695,199.095,41.0929,0.0364,36.45
AMZN280616P00120000,2026-02-09 15:39:32+00:00,120.0,7.05,2.0,0,36.2342,,38.5857,0.0364,
AMZN280616P00125000,2026-02-06 16:57:59+00:00,125.0,8.2,3.0,0,37.3389,,38.5815,0.0364,
AMZN280616P00130000,2026-02-13 19:14:55+00:00,130.0,10.1,19.0,0,35.4163,199.7,39.8005,0.0364,35.17
AMZN280616P00135000,2026-02-13 14:37:45+00:00,135.0,11.95,2.0,0,36.045,198.3201,40.1815,0.0364,38.48
AMZN280616P00140000,2026-02-13 17:38:45+00:00,140.0,12.75,3.0,0,35.9427,200.8,39.6861,0.0364,35.18
AMZN280616P00145000,2026-02-09 15:36:17+00:00,145.0,12.82,2.0,0,35.1126,,37.2394,0.0364,
AMZN280616P00150000,2026-02-12 18:58:02+00:00,150.0,16.22,1.0,0,35.076,199.885,39.7554,0.0364,37.43
AMZN280616P00155000,2026-02-09 16:21:25+00:00,155.0,15.5,1.0,0,34.6976,,36.489,0.0364,
AMZN280616P00160000,2026-02-13 18:25:09+00:00,160.0,19.05,10.0,0,33.3442,199.75,38.7672,0.0364,35.13
AMZN280616P00165000,2026-02-13 18:25:32+00:00,165.0,20.95,19.0,0,32.9764,199.7199,38.7167,0.0364,35.14
AMZN280616P00170000,2026-02-13 20:33:51+00:00,170.0,23.63,21.0,0,32.6636,197.99,38.9634,0.0364,36.56
AMZN280616P00175000,2026-02-13 18:26:22+00:00,175.0,25.05,8.0,0,33.2923,199.7199,38.664,0.0364,35.14
AMZN280616P00180000,2026-02-13 20:34:25+00:00,180.0,27.97,10.0,0,32.096,197.99,38.9045,0.0364,36.56
AMZN280616P00185000,2026-02-13 18:25:47+00:00,185.0,29.5,10.0,0,31.7939,199.7199,38.614,0.0364,35.14
AMZN280616P00190000,2026-02-13 18:25:21+00:00,190.0,31.85,13.0,0,31.4948,199.75,38.5974,0.0364,35.13
AMZN280616P00195000,2026-02-13 20:34:42+00:00,195.0,35.3,11.0,0,31.2431,198.11,39.0321,0.0364,36.56
AMZN280616P00200000,2026-02-13 19:26:46+00:00,200.0,37.05,16.0,1,31.8412,199.695,38.767,0.0364,35.23
AMZN280616P00210000,2026-02-12 19:42:59+00:00,210.0,43.22,10.0,1,30.4282,199.0999,39.3326,0.0364,37.64
AMZN280616P00220000,2026-02-13 14:53:52+00:00,220.0,49.3,10.0,1,29.8484,198.795,39.6159,0.0364,37.44
AMZN280616P00230000,2026-02-12 17:27:44+00:00,230.0,55.3,7.0,1,29.3022,199.6,39.977,0.0364,37.88
AMZN280616P00240000,2026-02-13 20:35:57+00:00,240.0,62.17,12.0,1,28.759,198.035,40.0085,0.0364,36.62
AMZN280616P00250000,2026-02-06 16:44:27+00:00,250.0,64.15,12.0,1,28.1868,,36.6479,0.0364,
AMZN280616P00260000,2026-02-03 18:12:44+00:00,260.0,55.3,2.0,1,27.5947,,23.6567,0.0364,
AMZN280616P00270000,2026-02-09 19:09:06+00:00,270.0,76.2,5.0,1,26.992,,35.5411,0.0364,
AMZN280616P00280000,2026-02-03 18:11:16+00:00,280.0,67.55,2.0,1,26.3939,,21.5223,0.0364,
AMZN280616P00290000,2026-02-02 19:02:09+00:00,290.0,70.64,2.0,1,25.7088,,15.7901,0.0364,
AMZN280616P00300000,2026-02-02 19:02:19+00:00,300.0,77.31,2.0,1,26.4686,,11.4302,0.0364,
AMZN280616P00310000,2026-02-09 15:28:42+00:00,310.0,109.01,2.0,1,26.9462,,38.851,0.0364,
AMZN280616P00320000,2026-02-02 19:03:12+00:00,320.0,91.6,2.0,1,24.7963,,,0.0364,
AMZN280616P00330000,2026-02-02 19:03:49+00:00,330.0,99.14,2.0,1,24.0395,,,0.0364,
AMZN280616P00340000,2026-02-10 18:36:39+00:00,340.0,134.79,6.0,1,24.6712,,41.3189,0.0364,
AMZN280616P00350000,2026-02-11 15:47:42+00:00,350.0,145.2,10.0,1,25.6019,205.5895,47.2766,0.0364,35.65
AMZN280616P00360000,2026-02-11 19:00:48+00:00,360.0,155.65,10.0,1,25.5409,204.5111,48.9948,0.0364,35.52
AMZN280616P00370000,2026-02-06 14:50:05+00:00,370.0,166.71,1.0,1,26.3862,,48.7008,0.0364,
