contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
TLT260918C00055000,2025-11-24 20:17:34+00:00,55.0,35.11,,1,0.001,,,0.0364
TLT260918C00060000,2026-02-05 15:29:32+00:00,60.0,27.4,71.0,1,26.075,,,0.0364
TLT260918C00065000,2026-01-15 17:45:01+00:00,65.0,23.6,20.0,1,21.4852,,,0.0364
TLT260918C00070000,2026-01-14 16:57:10+00:00,70.0,17.65,10.0,1,17.1883,,,0.0364
TLT260918C00075000,2026-02-10 19:19:48+00:00,75.0,13.51,1.0,1,13.9169,88.33,,0.0364
TLT260918C00076000,2026-02-12 18:42:32+00:00,76.0,13.75,9.0,1,13.7948,89.155,,0.0364
TLT260918C00078000,2026-02-10 15:15:35+00:00,78.0,10.74,1.0,1,13.1356,88.3575,,0.0364
TLT260918C00079000,2026-02-13 15:19:52+00:00,79.0,10.94,10.0,1,13.1112,89.6,,0.0364
TLT260918C00080000,2026-02-12 16:23:40+00:00,80.0,9.4,50.0,1,12.9159,88.806,,0.0364
TLT260918C00081000,2026-02-12 19:16:58+00:00,81.0,9.2,5.0,1,12.5863,89.22,,0.0364
TLT260918C00082000,2026-02-12 18:23:32+00:00,82.0,8.09,3.0,1,12.452,89.175,,0.0364
TLT260918C00083000,2026-02-12 18:23:32+00:00,83.0,7.27,3.0,1,12.4276,89.175,,0.0364
TLT260918C00084000,2026-02-03 15:09:42+00:00,84.0,4.64,2.0,1,12.2201,,,0.0364
TLT260918C00085000,2026-02-13 20:10:05+00:00,85.0,6.0,18.0,1,12.098,89.6656,,0.0364
TLT260918C00086000,2026-02-13 20:49:44+00:00,86.0,5.41,11.0,1,12.0187,89.685,,0.0364
TLT260918C00087000,2026-02-12 19:57:59+00:00,87.0,4.75,31.0,1,11.9638,89.23,7.8804,0.0364
TLT260918C00088000,2026-02-13 20:26:47+00:00,88.0,4.2,611.0,1,12.1103,89.7499,6.8527,0.0364
TLT260918C00089000,2026-02-13 20:11:52+00:00,89.0,3.6,5142.0,1,12.0736,89.69,7.5679,0.0364
TLT260918C00090000,2026-02-13 18:33:15+00:00,90.0,3.15,563.0,0,12.2262,89.6399,8.3884,0.0364
TLT260918C00091000,2026-02-13 20:18:59+00:00,91.0,2.75,18.0,0,12.1347,89.695,8.823,0.0364
TLT260918C00092000,2026-02-13 17:58:05+00:00,92.0,2.35,118.0,0,12.2445,89.625,9.2582,0.0364
TLT260918C00093000,2026-02-13 16:05:56+00:00,93.0,2.03,5.0,0,12.3422,89.62,9.6387,0.0364
TLT260918C00094000,2026-02-13 19:56:09+00:00,94.0,1.75,8.0,0,12.4459,89.685,9.8773,0.0364
TLT260918C00095000,2026-02-13 20:48:00+00:00,95.0,1.53,7016.0,0,12.5619,89.715,10.2432,0.0364
TLT260918C00096000,2026-02-12 20:50:10+00:00,96.0,1.32,1.0,0,12.7633,89.25,11.1216,0.0364
TLT260918C00097000,2026-02-10 17:08:40+00:00,97.0,1.18,121.0,0,12.9281,88.365,12.5784,0.0364
TLT260918C00098000,2026-02-13 18:22:20+00:00,98.0,0.98,75.0,0,13.1356,89.62,11.195,0.0364
TLT260918C00099000,2026-02-10 14:30:07+00:00,99.0,0.64,1.0,0,13.3798,88.225,11.6968,0.0364
TLT260918C00100000,2026-02-13 17:35:00+00:00,100.0,0.74,108.0,0,13.5385,89.66,11.709,0.0364
TLT260918C00101000,2026-01-12 15:39:22+00:00,101.0,0.39,2.0,0,12.5009,,10.2321,0.0364
TLT260918C00102000,2026-02-13 19:09:03+00:00,102.0,0.59,1.0,0,14.1488,89.645,12.4289,0.0364
TLT260918C00103000,2026-02-10 20:07:28+00:00,103.0,0.41,1500.0,0,14.3807,88.435,12.9079,0.0364
TLT260918C00105000,2026-02-13 19:31:09+00:00,105.0,0.43,29.0,0,14.9667,89.715,13.3677,0.0364
TLT260918C00110000,2026-02-13 19:38:38+00:00,110.0,0.27,15.0,0,16.1874,89.715,14.9301,0.0364
TLT260918C00115000,2026-02-12 18:26:17+00:00,115.0,0.17,20.0,0,17.8475,89.195,16.5508,0.0364
TLT260918C00120000,2026-02-12 19:41:13+00:00,120.0,0.12,1.0,0,19.2879,89.235,17.8729,0.0364
TLT260918C00125000,2026-02-10 16:51:47+00:00,125.0,0.07,67.0,0,20.5086,88.45,18.9916,0.0364
TLT260918C00130000,2026-02-12 14:45:05+00:00,130.0,0.06,200.0,0,21.8758,88.465,20.4849,0.0364
