contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GLD260306C00260000,2026-02-02 16:01:59+00:00,260.0,164.0,1.0,1,105.3716,,,0.0364,
GLD260306C00285000,2026-01-27 18:46:17+00:00,285.0,183.7,,1,79.6877,,155.6015,0.0364,
GLD260306C00300000,2026-02-11 20:39:28+00:00,300.0,167.93,1.0,1,77.5393,467.38,,0.0364,29.39
GLD260306C00325000,2026-02-13 19:00:43+00:00,325.0,138.23,1.0,1,75.4397,462.86,,0.0364,31.05
GLD260306C00350000,2026-02-12 20:04:50+00:00,350.0,105.73,4.0,1,60.2055,454.27,61.4424,0.0364,30.29
GLD260306C00360000,2026-02-05 15:58:46+00:00,360.0,84.14,,1,60.1322,,,0.0364,
GLD260306C00365000,2026-02-03 17:19:33+00:00,365.0,93.45,1.0,1,54.0288,,,0.0364,
GLD260306C00370000,2026-01-30 20:55:25+00:00,370.0,77.25,1.0,1,54.6513,,,0.0364,
GLD260306C00375000,2026-02-02 20:48:03+00:00,375.0,57.39,7.0,1,50.1958,,,0.0364,
GLD260306C00380000,2026-02-05 15:58:46+00:00,380.0,65.13,,1,57.7031,,,0.0364,
GLD260306C00385000,2026-01-26 16:42:00+00:00,385.0,84.6,,1,59.5646,,78.0802,0.0364,
GLD260306C00390000,2026-01-30 17:29:11+00:00,390.0,66.27,5.0,1,56.9218,,,0.0364,
GLD260306C00395000,2026-02-11 15:59:40+00:00,395.0,71.26,1.0,1,51.7461,465.0,38.0339,0.0364,29.09
GLD260306C00400000,2026-02-13 20:05:39+00:00,400.0,64.0,17.0,1,48.6577,462.35,38.6354,0.0364,31.35
GLD260306C00405000,2026-02-13 16:46:02+00:00,405.0,58.65,2.0,1,46.0577,461.296,40.676,0.0364,31.88
GLD260306C00410000,2026-02-11 17:43:49+00:00,410.0,52.3,2.0,1,41.7975,468.38,,0.0364,29.4
