contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate,volatilityIndex
GLD260331C00200000,2026-01-28 18:52:29+00:00,200.0,286.25,1.0,1,107.9594,,250.8605,0.0364,
GLD260331C00205000,2026-02-03 17:11:42+00:00,205.0,249.0,1.0,1,105.0298,,,0.0364,
GLD260331C00210000,2025-06-30 17:26:20+00:00,210.0,99.34,,1,0.001,,,0.0364,
GLD260331C00215000,2026-02-04 15:27:57+00:00,215.0,242.38,1.0,1,101.0259,,,0.0364,
GLD260331C00220000,2026-01-29 20:50:26+00:00,220.0,275.86,1.0,1,98.7549,,261.7452,0.0364,
GLD260331C00225000,2026-02-11 20:05:05+00:00,225.0,242.0,10.0,1,96.9727,467.015,,0.0364,29.41
GLD260331C00230000,2026-02-13 18:29:24+00:00,230.0,232.86,1.0,1,95.2149,461.58,82.9569,0.0364,31.49
GLD260331C00235000,2025-12-29 15:04:48+00:00,235.0,166.4,1.0,1,0.001,,,0.0364,
GLD260331C00240000,2025-09-11 17:50:46+00:00,240.0,99.06,1.0,1,0.001,,,0.0364,
GLD260331C00245000,2026-02-13 18:29:24+00:00,245.0,217.95,1.0,1,88.9894,461.58,76.8717,0.0364,31.49
GLD260331C00250000,2026-02-03 19:48:40+00:00,250.0,205.3,1.0,1,88.2325,,,0.0364,
GLD260331C00255000,2025-12-31 14:34:55+00:00,255.0,147.05,4.0,1,0.001,,,0.0364,
GLD260331C00259000,2025-10-06 18:17:59+00:00,259.0,110.08,2.0,1,0.001,,,0.0364,
GLD260331C00260000,2026-01-29 17:56:32+00:00,260.0,230.45,2.0,1,82.2267,,199.439,0.0364,
GLD260331C00262000,2026-02-02 17:41:38+00:00,262.0,169.8,,1,81.9338,,,0.0364,
GLD260331C00264000,2025-09-12 18:55:01+00:00,264.0,77.06,5.0,1,0.001,,,0.0364,
GLD260331C00265000,2025-07-29 13:33:53+00:00,265.0,48.96,1.0,1,0.001,,,0.0364,
GLD260331C00266000,2026-02-11 20:32:54+00:00,266.0,201.71,14.0,1,80.0051,466.78,,0.0364,29.37
GLD260331C00267000,2025-06-30 13:45:25+00:00,267.0,45.5,2.0,1,0.001,,,0.0364,
GLD260331C00268000,2025-04-16 19:41:36+00:00,268.0,53.0,4.0,1,0.001,,,0.0364,
GLD260331C00270000,2025-11-03 15:49:01+00:00,270.0,103.77,15.0,1,0.001,,,0.0364,
GLD260331C00271000,2025-09-29 14:56:41+00:00,271.0,86.34,1.0,1,0.001,,,0.0364,
GLD260331C00272000,2025-09-23 13:57:11+00:00,272.0,81.5,1.0,1,0.001,,,0.0364,
GLD260331C00273000,2026-01-05 15:22:55+00:00,273.0,138.89,1.0,1,112.0244,,,0.0364,
GLD260331C00274000,2025-10-14 19:52:47+00:00,274.0,110.5,1.0,1,0.001,,,0.0364,
GLD260331C00275000,2026-01-29 15:36:51+00:00,275.0,199.2,1.0,1,76.9289,,131.6594,0.0364,
GLD260331C00276000,2025-06-20 15:12:37+00:00,276.0,46.12,2.0,1,0.001,,,0.0364,
GLD260331C00277000,2026-01-30 18:10:06+00:00,277.0,167.0,1.0,1,76.0012,,,0.0364,
GLD260331C00278000,2025-09-11 14:08:49+00:00,278.0,62.15,4.0,1,0.001,,,0.0364,
GLD260331C00279000,2025-09-03 17:12:49+00:00,279.0,56.94,1.0,1,0.001,,,0.0364,
GLD260331C00280000,2026-01-30 18:32:10+00:00,280.0,160.0,2.0,1,76.5139,,,0.0364,
GLD260331C00281000,2026-02-02 18:01:00+00:00,281.0,149.6,1.0,1,74.4143,,,0.0364,
GLD260331C00282000,2025-10-06 19:52:59+00:00,282.0,87.8,1.0,1,0.001,,,0.0364,
GLD260331C00283000,2025-09-04 17:42:43+00:00,283.0,50.74,2.0,1,0.001,,,0.0364,
GLD260331C00284000,2025-08-04 14:09:53+00:00,284.0,37.97,10.0,1,0.001,,,0.0364,
GLD260331C00285000,2026-01-14 17:10:05+00:00,285.0,141.57,1.0,1,72.8518,,,0.0364,
GLD260331C00286000,2025-09-29 17:28:46+00:00,286.0,72.14,22.0,1,0.001,,,0.0364,
GLD260331C00287000,2025-09-26 16:55:21+00:00,287.0,66.0,5.0,1,0.001,,,0.0364,
GLD260331C00288000,2025-11-05 16:45:10+00:00,288.0,83.36,1.0,1,0.001,,,0.0364,
GLD260331C00289000,2025-09-08 15:56:45+00:00,289.0,53.55,3.0,1,0.001,,,0.0364,
GLD260331C00290000,2026-02-02 20:25:12+00:00,290.0,140.1,2.0,1,71.094,,,0.0364,
GLD260331C00291000,2026-02-11 20:11:29+00:00,291.0,177.88,1.0,1,70.6302,467.56,44.4026,0.0364,29.37
GLD260331C00292000,2025-07-28 13:30:06+00:00,292.0,28.31,20.0,1,0.001,,,0.0364,
GLD260331C00293000,2026-02-11 20:11:29+00:00,293.0,175.9,1.0,1,69.9832,467.56,45.7339,0.0364,29.37
GLD260331C00294000,2025-09-11 13:37:03+00:00,294.0,46.6,1.0,1,0.001,,,0.0364,
GLD260331C00295000,2025-12-17 17:28:41+00:00,295.0,106.91,4.0,1,0.001,,,0.0364,
GLD260331C00296000,2025-11-20 17:26:59+00:00,296.0,81.65,5.0,1,0.001,,,0.0364,
GLD260331C00297000,2025-10-20 19:17:02+00:00,297.0,108.52,1.0,1,0.001,,,0.0364,
GLD260331C00298000,2025-10-06 14:35:02+00:00,298.0,71.74,2.0,1,0.001,,,0.0364,
GLD260331C00299000,2025-09-24 15:23:25+00:00,299.0,53.35,8.0,1,0.001,,,0.0364,
GLD260331C00300000,2026-02-11 20:07:05+00:00,300.0,168.65,1.0,1,68.7015,467.2306,47.9461,0.0364,29.4
GLD260331C00301000,2026-01-22 19:07:01+00:00,301.0,153.24,1.0,1,68.0179,,,0.0364,
GLD260331C00302000,2026-02-11 20:07:05+00:00,302.0,166.6,1.0,1,68.0179,467.2306,41.1446,0.0364,29.4
GLD260331C00303000,2026-02-09 14:30:12+00:00,303.0,160.05,1.0,1,67.7738,461.68,39.0146,0.0364,32.52
GLD260331C00304000,2026-01-13 14:30:01+00:00,304.0,123.01,2.0,1,67.3221,,,0.0364,
GLD260331C00305000,2026-01-29 15:27:24+00:00,305.0,176.6,1.0,1,67.2977,,134.1161,0.0364,
GLD260331C00306000,2026-01-28 16:57:33+00:00,306.0,182.64,3.0,1,66.6385,,152.9093,0.0364,
GLD260331C00307000,2026-02-11 20:07:05+00:00,307.0,161.68,1.0,1,65.7718,467.2306,45.5856,0.0364,29.4
GLD260331C00308000,2026-02-13 15:04:59+00:00,308.0,153.0,1.0,1,65.7474,459.36,50.5805,0.0364,30.24
GLD260331C00309000,2026-02-12 17:47:02+00:00,309.0,147.72,64.0,1,65.6986,455.30933,38.4751,0.0364,30.09
GLD260331C00310000,2026-02-04 16:04:03+00:00,310.0,142.7,15.0,1,65.2591,,,0.0364,
GLD260331C00311000,2026-01-27 19:22:37+00:00,311.0,158.65,1.0,1,64.4047,,89.5505,0.0364,
GLD260331C00312000,2026-01-28 15:21:01+00:00,312.0,173.92,2.0,1,63.9652,,140.8138,0.0364,
GLD260331C00313000,2025-12-01 17:00:00+00:00,313.0,80.01,3.0,1,0.001,,,0.0364,
GLD260331C00314000,2026-02-05 14:35:22+00:00,314.0,131.0,10.0,1,63.6844,,,0.0364,
GLD260331C00315000,2026-01-29 20:33:13+00:00,315.0,175.3,1.0,1,63.2328,,149.8646,0.0364,
GLD260331C00316000,2026-01-29 14:48:14+00:00,316.0,191.04,1.0,1,61.8168,,189.5786,0.0364,
GLD260331C00317000,2026-01-07 17:25:39+00:00,317.0,96.35,2.0,1,87.2682,,,0.0364,
GLD260331C00318000,2026-01-14 17:42:32+00:00,318.0,108.03,3.0,1,60.9501,,,0.0364,
GLD260331C00319000,2026-01-14 20:06:39+00:00,319.0,109.63,3.0,1,60.5229,,,0.0364,
GLD260331C00320000,2026-02-09 15:32:51+00:00,320.0,145.3,1.0,1,61.6093,464.12,,0.0364,32.12
GLD260331C00321000,2026-01-29 14:30:07+00:00,321.0,187.95,2.0,1,60.6205,,189.2594,0.0364,
GLD260331C00322000,2025-12-04 16:35:35+00:00,322.0,69.78,80.0,1,0.001,,,0.0364,
GLD260331C00323000,2026-01-14 18:26:15+00:00,323.0,105.26,1.0,1,60.2909,,,0.0364,
GLD260331C00324000,2025-12-10 16:44:04+00:00,324.0,66.71,2.0,1,0.001,,,0.0364,
GLD260331C00325000,2026-02-02 20:45:22+00:00,325.0,107.9,2.0,1,59.7782,,,0.0364,
GLD260331C00326000,2026-01-30 20:53:19+00:00,326.0,123.55,1.0,1,58.2768,,,0.0364,
GLD260331C00327000,2026-02-02 20:45:16+00:00,327.0,105.85,2.0,1,57.8495,,,0.0364,
GLD260331C00328000,2026-01-14 17:53:08+00:00,328.0,98.91,2.0,1,57.4223,,,0.0364,
GLD260331C00329000,2026-02-02 20:45:11+00:00,329.0,103.95,10.0,1,58.0449,,,0.0364,
GLD260331C00330000,2026-02-05 20:24:19+00:00,330.0,114.86,4.0,1,57.2758,,,0.0364,
GLD260331C00331000,2026-01-28 17:15:22+00:00,331.0,158.15,1.0,1,57.0195,,134.2953,0.0364,
GLD260331C00332000,2026-01-26 16:57:19+00:00,332.0,138.1,1.0,1,57.0927,,79.3746,0.0364,
GLD260331C00333000,2026-01-23 17:09:59+00:00,333.0,127.48,1.0,1,56.6655,,,0.0364,
GLD260331C00334000,2026-01-27 16:24:40+00:00,334.0,136.45,1.0,1,56.2382,,79.5654,0.0364,
GLD260331C00335000,2026-02-02 15:22:33+00:00,335.0,99.75,1.0,1,56.1406,,,0.0364,
GLD260331C00336000,2026-01-23 19:54:09+00:00,336.0,125.0,3.0,1,55.3837,,,0.0364,
GLD260331C00337000,2026-01-26 20:17:03+00:00,337.0,128.96,1.0,1,55.2739,,57.1874,0.0364,
GLD260331C00338000,2026-01-16 15:38:45+00:00,338.0,82.8,3.0,1,54.8588,,,0.0364,
GLD260331C00339000,2026-01-06 14:35:07+00:00,339.0,76.16,1.0,1,75.7449,,,0.0364,
GLD260331C00340000,2026-02-06 21:00:16+00:00,340.0,117.32,1.0,1,53.687,,,0.0364,
GLD260331C00341000,2026-02-03 20:07:23+00:00,341.0,112.7,1.0,1,52.9424,,,0.0364,
GLD260331C00342000,2026-02-05 17:54:07+00:00,342.0,108.58,2.0,1,53.3086,,,0.0364,
GLD260331C00343000,2026-01-12 16:37:45+00:00,343.0,84.56,2.0,1,74.2739,,,0.0364,
GLD260331C00344000,2025-12-22 15:37:19+00:00,344.0,67.4,41.0,1,0.001,,,0.0364,
GLD260331C00345000,2026-01-30 16:40:28+00:00,345.0,115.65,2.0,1,51.8926,,,0.0364,
GLD260331C00346000,2025-12-22 15:36:49+00:00,346.0,65.51,40.0,1,0.001,,,0.0364,
GLD260331C00347000,2026-01-12 14:42:07+00:00,347.0,81.0,1.0,1,72.1377,,,0.0364,
GLD260331C00348000,2026-01-05 20:53:47+00:00,348.0,64.55,1.0,1,71.448,,,0.0364,
GLD260331C00349000,2026-02-11 20:33:19+00:00,349.0,119.9,6.0,1,55.9636,466.78,42.7286,0.0364,29.37
GLD260331C00350000,2026-02-06 21:00:16+00:00,350.0,107.52,1.0,1,55.042,,,0.0364,
GLD260331C00351000,2026-02-10 17:02:54+00:00,351.0,113.0,1.0,1,55.0664,461.91,40.294,0.0364,29.03
GLD260331C00352000,2026-01-21 17:14:27+00:00,352.0,93.94,1.0,1,54.8466,,,0.0364,
GLD260331C00353000,2026-01-06 14:35:51+00:00,353.0,63.05,1.0,1,68.9639,,,0.0364,
GLD260331C00354000,2026-01-30 18:28:14+00:00,354.0,84.45,4.0,1,54.395,,,0.0364,
GLD260331C00355000,2026-02-11 17:42:09+00:00,355.0,108.0,1.0,1,53.0461,467.9599,,0.0364,29.38
GLD260331C00356000,2026-02-09 16:53:55+00:00,356.0,112.79,1.0,1,53.0522,466.44,42.2717,0.0364,32.34
GLD260331C00357000,2026-01-09 15:48:21+00:00,357.0,61.98,3.0,1,67.4869,,,0.0364,
GLD260331C00358000,2026-01-29 18:05:59+00:00,358.0,135.0,2.0,1,52.6006,,122.4746,0.0364,
GLD260331C00359000,2026-01-12 18:30:02+00:00,359.0,68.34,3.0,1,65.9793,,,0.0364,
GLD260331C00360000,2026-02-10 14:30:02+00:00,360.0,109.8,1.0,1,50.8306,466.23,49.194,0.0364,29.14
GLD260331C00365000,2026-02-13 18:54:19+00:00,365.0,100.0,2.0,1,49.6953,462.65,37.6003,0.0364,31.06
GLD260331C00370000,2026-02-12 17:28:01+00:00,370.0,90.0,1.0,1,47.6812,456.95,39.049,0.0364,29.8
GLD260331C00375000,2026-02-12 20:53:29+00:00,375.0,79.3,3.0,1,45.8624,451.82,31.663,0.0364,30.45
GLD260331C00380000,2026-02-11 20:48:40+00:00,380.0,90.2,8.0,1,46.4605,467.645,34.7426,0.0364,29.6
GLD260331C00381000,2026-02-04 16:50:35+00:00,381.0,72.65,2.0,1,44.4708,,,0.0364,
GLD260331C00382000,2026-01-23 15:34:37+00:00,382.0,76.38,1.0,1,44.5379,,,0.0364,
