contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
ETHA260313C00001000,2026-02-17 17:39:39+00:00,1.0,13.95,1.0,1,2100.0002,14.84,656.7035,0.0365
ETHA260313C00003000,2026-02-12 16:59:07+00:00,3.0,11.48,,1,748.4376,,,0.0365
ETHA260313C00004000,2026-02-12 17:00:05+00:00,4.0,10.49,,1,482.0316,,,0.0365
ETHA260313C00005000,2026-02-20 15:33:12+00:00,5.0,9.5,1.0,1,364.8438,14.6934,,0.0365
ETHA260313C00009000,2026-02-10 14:53:45+00:00,9.0,6.27,,1,229.6879,,158.721,0.0365
ETHA260313C00010000,2026-02-10 14:45:23+00:00,10.0,5.48,20.0,1,174.4142,,156.931,0.0365
ETHA260313C00011000,2026-02-12 16:45:52+00:00,11.0,3.75,28.0,1,150.0002,,,0.0365
ETHA260313C00012000,2026-02-20 20:15:01+00:00,12.0,3.12,19.0,1,92.5782,14.87,90.2451,0.0365
ETHA260313C00013000,2026-02-10 20:43:25+00:00,13.0,2.73,,1,73.0471,,99.5901,0.0365
ETHA260313C00014000,2026-02-19 15:23:20+00:00,14.0,1.3,44.0,1,70.7034,14.47,75.228,0.0365
ETHA260313C00015000,2026-02-20 20:46:59+00:00,15.0,0.9,53.0,0,67.1878,14.87,67.9625,0.0365
ETHA260313C00016000,2026-02-20 20:59:54+00:00,16.0,0.52,159.0,0,65.8207,14.89,66.8371,0.0365
ETHA260313C00017000,2026-02-20 20:57:53+00:00,17.0,0.28,1803.0,0,66.6019,14.87,66.9779,0.0365
ETHA260313C00017500,2026-02-20 20:51:06+00:00,17.5,0.22,482.0,0,67.5784,14.865,69.0759,0.0365
ETHA260313C00018000,2026-02-20 17:01:54+00:00,18.0,0.16,14.0,0,70.3128,14.84,69.4216,0.0365
ETHA260313C00018500,2026-02-20 18:41:26+00:00,18.5,0.14,604.0,0,70.8987,14.915,72.1093,0.0365
ETHA260313C00019000,2026-02-20 19:55:51+00:00,19.0,0.11,8.0,0,73.0471,14.8232,75.1866,0.0365
ETHA260313C00019500,2026-02-20 14:32:22+00:00,19.5,0.12,1.0,0,81.2502,14.695,84.2026,0.0365
ETHA260313C00020000,2026-02-20 16:47:31+00:00,20.0,0.11,1.0,0,78.1252,14.835,85.851,0.0365
ETHA260313C00020500,2026-02-20 15:42:17+00:00,20.5,0.07,1.0,0,82.0314,14.705,84.4337,0.0365
ETHA260313C00021000,2026-02-20 17:28:57+00:00,21.0,0.09,1.0,0,85.547,14.68,94.3509,0.0365
ETHA260313C00021500,2026-02-13 17:30:07+00:00,21.5,0.12,6.0,0,110.7426,,87.8655,0.0365
ETHA260313C00022000,2026-02-17 18:50:16+00:00,22.0,0.06,3.0,0,99.2188,15.1,84.0633,0.0365
ETHA260313C00022500,2026-02-09 17:38:31+00:00,22.5,0.15,1.0,0,127.1488,,94.0025,0.0365
ETHA260313C00023000,2026-02-20 19:12:25+00:00,23.0,0.04,94.0,0,94.5313,14.85,95.0108,0.0365
ETHA260313C00023500,2026-02-20 18:49:20+00:00,23.5,0.07,2.0,0,101.9536,14.905,107.9173,0.0365
ETHA260313C00024000,2026-02-20 19:09:36+00:00,24.0,0.13,1.0,0,110.1567,14.87,126.7178,0.0365
ETHA260313C00024500,2026-02-20 19:09:04+00:00,24.5,0.11,6.0,0,105.4692,14.88,126.2593,0.0365
ETHA260313C00025000,2026-02-20 18:48:37+00:00,25.0,0.07,5.0,0,107.0317,14.905,119.2287,0.0365
ETHA260313C00025500,2026-02-10 19:22:35+00:00,25.5,0.06,,0,114.0629,,97.8714,0.0365
ETHA260313C00026000,2026-02-20 19:12:16+00:00,26.0,0.07,12.0,0,109.3755,14.85,127.0542,0.0365
ETHA260313C00026500,2026-02-20 18:56:06+00:00,26.5,0.07,4.0,0,116.4067,14.895,129.7949,0.0365
ETHA260313C00027000,2026-02-20 14:57:46+00:00,27.0,0.03,5.0,0,125.7816,14.6765,118.8399,0.0365
ETHA260313C00027500,2026-02-20 18:53:42+00:00,27.5,0.07,1.0,0,125.0004,14.91,136.1035,0.0365
ETHA260313C00028000,2026-02-20 18:59:43+00:00,28.0,0.08,3.0,0,123.4379,14.94,142.0432,0.0365
ETHA260313C00029000,2026-02-20 19:01:35+00:00,29.0,0.13,1.0,0,139.8441,14.9346,161.7691,0.0365
ETHA260313C00030000,2026-02-20 19:30:31+00:00,30.0,0.03,3.0,0,131.2503,14.86,133.9233,0.0365
ETHA260313C00032000,2026-02-10 16:11:13+00:00,32.0,0.03,15.0,0,164.8439,,117.0353,0.0365
ETHA260313C00033000,2026-02-20 19:03:46+00:00,33.0,0.08,1.0,0,145.3128,14.9,170.8601,0.0365
ETHA260313C00035000,2026-02-06 19:37:16+00:00,35.0,0.02,26.0,0,151.5627,,114.7587,0.0365
ETHA260313C00040000,2026-02-11 17:25:07+00:00,40.0,0.03,1.0,0,213.6723,,147.0228,0.0365
